plotNumber,Rep,date,genotype,A,B,score_average,Comment
1001,1,828,PI 533969,2,2,2,
1002,1,828,PI 534049,2,1,1.5,
1003,1,828,PI 533981,2,3,2.5,
1004,1,828,Check,3,2.5,2.75,
1005,1,828,PI 533902,1,2,1.5,freckles
1006,1,828,PI 597965,3,2,2.5,
1007,1,828,PI 533912,3,4,3.5,
1008,1,828,PI 655975,3,2,2.5,
1009,1,828,PI 533950,2.5,3.5,3,
1010,1,828,PI 576431,2,2,2,
1011,1,828,PI 576379,2,2,2,
1012,1,828,SC0540,3.5,3.5,3.5,
1013,1,828,PI 533993,1,1,1,
1014,1,828,SC0834,5,5,5,
1015,1,828,PI 597959,1,1,1,bacteria
1016,1,828,PI 533825,3.5,4.5,4,
1017,1,828,PI 642791,1,2,1.5,bipolarios  + coletortrichum?
1018,1,828,Check,1,2,1.5,
1019,1,828,PI 534082,4.5,5,4.75,
1020,1,828,PI 655999,2,2,2,
1021,1,828,PI 534129,3.5,3,3.25,
1022,1,828,PI 533985,1.5,1.5,1.5,
1023,1,828,PI 595717,2.5,2,2.25,
1024,1,828,PI 641874,3.5,3,3.25,
1025,1,828,PI 656091,1,1,1,
1026,1,828,PI 656070,3,2,2.5,
1027,1,828,PI 656040,1,1.5,1.25,
1028,1,828,PI 533767,1,2,1.5,
1029,1,828,PI 576393,3,3,3,
1030,1,828,PI 533899,2,2,2,
1031,1,828,PI 595728,3,3,3,
1032,1,828,PI 329440,3.5,3,3.25,
1033,1,828,PI 534021,3.5,2.5,3,
1034,1,828,PI 534120,2,2,2,
1035,1,828,Check,2,2,2,
1036,1,828,PI 576400,3.5,3,3.25,
1037,1,828,PI 597943,3,4,3.5,
1038,1,828,PI 533768,1,1,1,
1039,1,828,PI 533980,2,2,2,
1040,1,828,PI 655995,4,2,3,
1041,1,828,PI 656042,3,2.5,2.75,
1042,1,828,PI 598069,2.5,2,2.25,HR?
1043,1,828,PI 533852,3.5,4,3.75,
1044,1,828,PI 597952,2,2,2,
1045,1,828,PI 534140,3,3,3,
1046,1,828,PI 656035,1,2,1.5,
1047,1,828,PI 576435,3,4,3.5,
1048,1,828,PI 595741,2,2,2,
1049,1,828,PI 656073,1,1.5,1.25,
1050,1,828,PI 576371,2,2,2,
1051,1,828,Check,2.5,2,2.25,
1052,1,828,PI 534068,4,4,4,
1053,1,828,PI 534042,4.5,4,4.25,
1054,1,828,PI 656021,3,2,2.5,
1055,1,828,PI 576335,3,3.5,3.25,
1056,1,828,PI 576352,3,2.5,2.75,
1057,1,828,PI 597977,4,4,4,
1058,1,828,SC0445,5,3.5,4.25,
1059,1,828,PI 534146,1,1,1,
1060,1,828,BTx645,1,1,1,
1061,1,828,PI 656075,1,1.5,1.25,
1062,1,828,PI 533790,4,3.5,3.75,
1063,1,828,PI 576411,1,1.5,1.25,
1064,1,828,PI 597956,4,4,4,centric circles
1065,1,828,Check,2,2,2,
1066,1,828,PI 653617,4,4,4,
1067,1,828,PI 533846,3,3.5,3.25,
1068,1,828,PI 533901,4,3,3.5,
1069,1,828,SC0479,2.5,1.5,2,
1070,1,828,PI 533859,4,3.5,3.75,
1071,1,828,PI 595718,4,4,4,
1072,1,828,PI 534134,2,2,2,
1073,1,828,PI 534086,1,2,1.5,
1074,1,828,PI 533934,3,3,3,
1075,1,828,PI 534053,1,2,1.5,
1076,1,828,Check,1,1,1,
1077,1,828,PI 533753,2,2.5,2.25,
1078,1,828,PI 534073,3,2,2.5,
1079,1,828,PI 653616,2,1.5,1.75,
1080,1,828,PI 533745,5,5,5,
1081,1,828,PI 533778,4,3.5,3.75,
1082,1,828,PI 533961,3,3,3,
1083,1,828,PI 656076,1.5,1,1.25,
1084,1,828,PI 595739,2.5,2,2.25,
1085,1,828,PI 576427,1,2,1.5,
1086,1,828,PI 534144,2.5,3,2.75,
1087,1,828,Check,3,2,2.5,
1088,1,828,PI 533943,3,3.5,3.25,
1089,1,828,PI 641849,3,2.5,2.75,
1090,1,828,PI 597969,2.5,3,2.75,
1091,1,828,PI 656028,2,2.5,2.25,
1092,1,828,SC1446,2,3,2.5,
1093,1,828,SC0847,5,5,5,
1094,1,828,PI 655985,1,2,1.5,
1095,1,828,PI 533835,3,2,2.5,
1096,1,828,PI 576425,1,2,1.5,
1097,1,828,PI 534155,2,2,2,
1098,1,828,PI 534032,1.5,3,2.25,
1099,1,828,PI 656009,2,2,2,
1100,1,828,PI 656108,3,2,2.5,
1101,1,828,PI 533823,4.5,5,4.75,
1102,1,828,PI 534152,1.5,2,1.75,
1103,1,828,PI 576417,2,2.5,2.25,
1104,1,828,PI 656038,3.5,3,3.25,
1105,1,828,PI 595735,2.5,2.5,2.5,
1106,1,828,SC0371,2.5,1.5,2,
1107,1,828,SC0458,2,2,2,
1108,1,828,PI 533873,2.5,2,2.25,
1109,1,828,Check,3,3,3,
1110,1,828,PI 533951,2.5,3,2.75,
1111,1,828,PI 656098,2,2.5,2.25,
1112,1,828,PI 24969,3,3,3,
1113,1,828,PI 598070,4,4,4,
1114,1,828,SC0860,3.5,4,3.75,
1115,1,828,PI 597972,1,2.5,1.75,
1116,1,828,PI 534135,1,1,1,
1117,1,828,PI 576365,3,2.5,2.75,
1118,1,828,PI 533988,2,1.5,1.75,
1119,1,828,PI 534100,2.5,2,2.25,
1120,1,828,PI 655987,3,3,3,
1121,1,828,PI 533968,1,3.5,2.25,
1122,1,828,PI 534069,3,3,3,
1123,1,828,PI 534002,2.5,2,2.25,
1124,1,828,PI 597945,2,1,1.5,
1125,1,828,PI 595708,4,4,4,
1126,1,828,PI 597981,1,2,1.5,
1127,1,828,PI 534153,3,3.5,3.25,
1128,1,828,Check,2,2,2,
1129,1,828,PI 656046,4,5,4.5,collected
1130,1,828,PI 656067,3,2.5,2.75,
1131,1,828,PI 597947,1,1.5,1.25,
1132,1,828,PI 533759,2,1,1.5,
1133,1,828,SC0652,2.5,2,2.25,
1134,1,828,PI 576374,2.5,1.5,2,
1135,1,828,PI 656086,2.5,3,2.75,
1136,1,828,PI 656105,3.5,3,3.25,collected
1137,1,828,PI 534121,3,2.5,2.75,
1138,1,828,PI 533841,2,2,2,
1139,1,828,PI 533920,2,1,1.5,
1140,1,828,PI 533772,3,2,2.5,
1141,1,828,PI 533962,1,1,1,
1142,1,828,PI 595703,3,3,3,
1143,1,828,SC0871,5,5,5,
1144,1,828,PI 533817,1.5,5,3.25,
1145,1,828,Check,2,1,1.5,
1146,1,828,PI 533847,3.5,3,3.25,
1147,1,828,PI 533976,2,2,2,
1148,1,828,PI 576414,3,3,3,
1149,1,828,PI 576378,2,3,2.5,
1150,1,828,SC0027,3.5,4,3.75,
1151,1,828,PI 576354,2,2,2,
1152,1,828,PI 533777,3.5,3,3.25,
1153,1,828,PI 597982,3,2,2.5,
1154,1,828,PI 533999,3,3,3,
1155,1,828,PI 533903,3.5,3.5,3.5,
1156,1,828,PI 641824,1.5,4,2.75,
1157,1,828,PI 533801,2.5,2.5,2.5,
1158,1,828,PI 534088,3.5,3.5,3.5,
1159,1,828,PI 659753,3.5,3,3.25,
1160,1,828,SC0159,1,2,1.5,
1161,1,828,PI 576350,2,2,2,oomycete rseudopersonospora
1162,1,828,PI 655981,2,1,1.5,
1163,1,828,PI 534093,4,5,4.5,
1164,1,828,PI 595729,1,2,1.5,
1165,1,828,PI 534061,2,2,2,
1166,1,828,PI 656109,3.5,3,3.25,
1167,1,828,SC0616,3,3,3,
1168,1,828,PI 534133,3,3,3,
1169,1,828,PI 534102,3,3,3,
1170,1,828,PI 534149,2,2,2,
1171,1,828,PI 533963,2,1.5,1.75,
1172,1,828,PI 276837,3,2,2.5,
1173,1,828,PI 597953,2,2,2,
1174,1,828,PI 656012,3.5,2.5,3,
1175,1,828,PI 534008,3,3.5,3.25,
1176,1,828,PI 534041,1,2,1.5,
1177,1,828,PI 576406,5,5,5,
1178,1,828,PI 534141,2.5,2,2.25,
1179,1,828,PI 576368,2,2,2,
1180,1,828,SC0759,1,1,1,
1181,1,828,PI 533891,2,2,2,
1182,1,828,PI 533917,1.5,2.5,2,
1183,1,828,PI 534020,3,3,3,
1184,1,828,PI 576383,2,4,3,"collected, LG is not"
